"","Date","hour","MeterID","MonthRead","count","fd"
"176","2017-12-21",3,1030664,25,1440,2
"177","2017-12-21",4,1030664,15,1440,1
"178","2017-12-21",5,1030664,11,1440,1
"179","2017-12-21",6,1030664,66,1440,6
"180","2017-12-21",7,1030664,94,1440,9
"181","2017-12-21",8,1030664,37,1440,3
"182","2017-12-21",9,1030664,43,1440,4
"183","2017-12-21",10,1030664,33,1440,3
"184","2017-12-21",11,1030664,48,1440,4
"185","2017-12-21",12,1030664,52,1440,5
"186","2017-12-22",1,1030664,39,1440,3
"187","2017-12-22",2,1030664,41,1440,4
"188","2017-12-22",3,1030664,39,1440,3
"189","2017-12-22",4,1030664,29,1440,2
"190","2017-12-22",5,1030664,3,1440,3
"191","2017-12-22",6,1030664,34,1440,3
"192","2017-12-22",7,1030664,10,1440,1
"193","2017-12-22",8,1030664,18,1440,1
"194","2017-12-22",9,1030664,31,1440,3
"195","2017-12-22",10,1030664,44,1440,4
"196","2017-12-22",11,1030664,34,1440,3
"197","2017-12-22",12,1030664,31,1440,3
"198","2017-12-23",2,1030664,3,1440,3
"199","2017-12-23",3,1030664,7,1440,7
"200","2017-12-23",4,1030664,2,1440,2
"201","2017-12-23",5,1030664,1,1440,1
"202","2017-12-23",6,1030664,2,1440,2
"203","2017-12-23",7,1030664,2,1440,2
"204","2017-12-23",10,1030664,2,1440,2
"205","2017-12-23",11,1030664,12,1440,1
"206","2017-12-23",12,1030664,1,1440,1
"207","2017-12-24",2,1030664,3,1440,3
"208","2017-12-24",3,1030664,7,1440,7
"209","2017-12-24",4,1030664,1,1440,1
"210","2017-12-24",5,1030664,2,1440,2
"211","2017-12-24",6,1030664,2,1440,2
"212","2017-12-24",7,1030664,2,1440,2
"213","2017-12-24",10,1030664,2,1440,2
"214","2017-12-24",11,1030664,3,1440,3
"215","2017-12-24",12,1030664,1,1440,1
"216","2017-12-25",1,1030664,6,1440,6
"217","2017-12-25",2,1030664,17,1440,1
"218","2017-12-25",3,1030664,5,1440,5
"219","2017-12-25",4,1030664,3,1440,3
"220","2017-12-25",5,1030664,3,1440,3
"221","2017-12-25",6,1030664,2,1440,2
"222","2017-12-25",7,1030664,1,1440,1
"223","2017-12-25",8,1030664,1,1440,1
"224","2017-12-25",10,1030664,2,1440,2
"225","2017-12-25",11,1030664,4,1440,4
"226","2017-12-25",12,1030664,2,1440,2
"227","2017-12-26",1,1030664,96,1440,9
"228","2017-12-26",2,1030664,26,1440,2
"229","2017-12-26",3,1030664,16,1440,1
"230","2017-12-26",4,1030664,22,1440,2
"231","2017-12-26",5,1030664,8,1440,8
"232","2017-12-26",6,1030664,19,1440,1
"233","2017-12-26",7,1030664,24,1440,2
"234","2017-12-26",8,1030664,27,1440,2
"235","2017-12-26",9,1030664,43,1440,4
"236","2017-12-26",10,1030664,31,1440,3
"237","2017-12-26",11,1030664,26,1440,2
"238","2017-12-26",12,1030664,238,1440,2
"239","2017-12-27",1,1030664,30,1440,3
"240","2017-12-27",2,1030664,25,1440,2
"241","2017-12-27",3,1030664,39,1440,3
"242","2017-12-27",4,1030664,12,1440,1
"243","2017-12-27",5,1030664,3,1440,3
"244","2017-12-27",6,1030664,46,1440,4
"245","2017-12-27",7,1030664,43,1440,4
"246","2017-12-27",8,1030664,29,1440,2
"247","2017-12-27",9,1030664,34,1440,3
"248","2017-12-27",10,1030664,35,1440,3
"249","2017-12-27",11,1030664,32,1440,3
"250","2017-12-27",12,1030664,37,1440,3
"251","2017-12-28",1,1030664,24,1440,2
"252","2017-12-28",2,1030664,18,1440,1
"253","2017-12-28",3,1030664,18,1440,1
"254","2017-12-28",4,1030664,22,1440,2
"255","2017-12-28",5,1030664,24,1440,2
"256","2017-12-28",6,1030664,38,1440,3
"257","2017-12-28",7,1030664,36,1440,3
"258","2017-12-28",8,1030664,35,1440,3
"259","2017-12-28",9,1030664,36,1440,3
"260","2017-12-28",10,1030664,60,1440,6
"261","2017-12-28",11,1030664,40,1440,4
"262","2017-12-28",12,1030664,15,1440,1
"263","2017-12-29",1,1030664,25,1440,2
"264","2017-12-29",2,1030664,13,1440,1
"265","2017-12-29",3,1030664,12,1440,1
"266","2017-12-29",4,1030664,14,1440,1
"267","2017-12-29",6,1030664,3,1440,3
"268","2017-12-29",7,1030664,33,1440,3
